component,boundary,target_gt,promoted_status,evidence,rationale,current_gap,next_action,evidence_files_present
"Observation operators: OF, OF_bridge, DoF, DoF_bridge, P1D_lin, P1D_quad, P1D_cub, P1D_cons",Fixed rule-based observation equations,Forbidden,Keep,components/observations/methods.py; scripts/materialize_calibrated_multifamily_parh_system.py,"These are measurement operators, not trained models. They expose heterogeneous projections of respiration: velocity, displacement bridge, burst timing, morphology, and consensus stability.","MAHNOB audit shows the bank often contains a better candidate, but target-side reliability is not sharp enough to use it safely.",Do not replace with a learned waveform head; improve target-computable observability evidence.,yes
"Candidate views: Raw, Detr., Band, Sign, R-z, Current, Helper",Fixed signal-processing views used as evidence,Forbidden,Keep with locked definitions,components/models/heads/parh_ossm.py; paper/figures/F2_dataset_and_observation_regime.pdf,"Views expose different nuisances and supports. They should inform reliability, not act as separate target-GT-selected models.","Some views are visually/diagnostically weak on MAHNOB; N/A/zero entries must be explained as unavailable evidence, not model failure.",Report view availability and reliability as diagnostics; keep view definitions fixed before full runs.,yes
"Resonant state x_t=[h1c,h1s,h2c,h2s,b,b_dot,r,r_dot]",Fixed physiology-aligned state structure,Forbidden,Keep,components/models/heads/parh_ossm.py; paper/main.tex,The oscillator/harmonic/baseline/residual split is the model thesis: timing and morphology are coupled through physiology but not forced into one waveform objective.,State structure alone does not solve target observability; wrong observation trust still corrupts rate readout.,Keep the state fixed; improve observation covariance/mixture evidence feeding the state.,yes
KF/RTS inference and Student-t innovation reweighting,"Probabilistic inference, not learned",Forbidden,Keep,components/models/heads/parh_ossm.py; components/models/core/smoother.py,Kalman/RTS gives transparent state inference; Student-t downweights outlier innovations without training a black-box rejector.,"It is protective, not a selector. It cannot recover information when all observations are weak or aliased.","Use NIS/lambda/prior-collapse as diagnostics and guards, not as post-hoc performance knobs.",yes
Target-side sign/scale/lag calibration,Online self-calibration from target observations,Forbidden,Allowed if diagnostics are logged,scripts/extract_target_reliability_graph_features.py; execute.md,"New people/environments change observation coordinate systems. Relative calibration is necessary, but it must be estimated from inter-family agreement rather than target labels.","Reference/nonstationary lag dominates many MAHNOB failures, so calibration must distinguish real phase lag from unphysical matching.",Audit bounded-lag vs unbounded-lag cases; do not promote unphysical lag compensation.,yes
Windowed target reliability graph,Target-computable time-local reliability prior for the observation law,Forbidden,Required in final paper path,scripts/extract_target_reliability_graph_features.py; tests/test_target_reliability_graph_features.py; execute.md,"The final path needs local, target-computable evidence about which observation family/view is trustworthy. It is not a target-label selector: it provides reliability, support, and state-role priors that are consumed by the observation law.","Full validation has not been rerun after the closure patch, so the final priors must be regenerated before the paper package is complete.",Regenerate `analysis/final_priors/*_windowed.csv` from `execute.md` before full materialization; the paper-candidate activation audit must show the runtime prior was applied.,yes
Candidate-rate posterior final bounded readout,Deterministic target-computable timing evidence readout with preservation guards,Forbidden,Final paper-candidate readout when `--rate-posterior-output-source final` is used,scripts/materialize_calibrated_multifamily_parh_system.py; tests/test_rate_posterior_calibrated_readout.py; tests/test_paper_candidate_activation_contract.py; execute.md,The posterior may adjust z_osc only when candidate evidence is specific and target-observable; otherwise it must preserve the native state-space readout. This keeps OSSM-KF from becoming an unbounded hidden fallback.,"The closure contract is implemented, but the no-sweep full run is still pending after the latest patch.",Run the final full commands and require `activation_audit_summary.json` to pass for each real dataset.,yes
Source-supervised observation/readout arbiter,Shallow learned/fitted reliability mapping from source labels,Forbidden for fitting or target selection,Diagnostic/no-go for state path; readout-only candidate,scripts/materialize_calibrated_multifamily_parh_system.py; tests/test_observation_law_contract.py,"A small auditable mapping is acceptable when the target has no labels, but it must not override state/morphology unless transfer-safe ablations prove it.",It improves some MAHNOB trials but regresses others; source validity is not yet robust enough.,"Use as prior/diagnostic only; absorb useful features into target-side reliability, not a hard selector.",yes
Source-validity graph v4 / source_validity readout,Source-informed diagnostic posterior,Forbidden,No-go except guarded preservation,tests/test_rate_posterior_calibrated_readout.py; tests/test_rate_posterior_output_role.py,It tests whether source-learned validity transfers. Current evidence says raw replacement is unsafe.,Ungarded source-validity can over-resolve ambiguous target evidence.,Keep guarded/abstention behavior; do not promote raw source-validity replacement.,yes
Torch learned observation/waveform probes,Deep/black-box learned controls,Subject-split only; not target-GT selection,Not current promoted path,paper/main.tex; paper/supplementary_information.tex,"They are useful controls showing what learned capacity can do, but they weaken interpretability and several branches failed transfer or rate/waveform decoupling.",Good COHFACE behavior did not establish universal target robustness.,Keep as baselines/controls unless a split protocol proves transfer without sacrificing interpretability.,yes
