group,path,required,exists,size_or_child_count,note
execution_contract,execute.md,True,True,16011,single paper-facing full command ledger
dataset_scope,analysis/rr_dataset_symlink_audit.csv,True,True,503,raw dataset symlink audit
dataset_scope,analysis/rr_dataset_scope.csv,True,True,1466,dataset claim-scope audit
dataset_scope,analysis/rr_experiment_blueprint.md,True,True,2481,dataset role blueprint
runtime_profile,analysis/final_resource_profile.json,False,False,0,optional local hardware/runtime profile captured by setup/auto_profile.py
external_weak_evidence,analysis/v4v_rr_rate_manifest.csv,True,True,191289,V4V rate-only manifest
external_weak_evidence,analysis/scamps_rr_synthetic_manifest.csv,True,True,378149,SCAMPS synthetic manifest
external_weak_evidence,analysis/dataset_rate_distribution_eda.csv,True,True,517125,four-dataset rate-distribution EDA source
external_weak_evidence,analysis/dataset_distribution_eda.csv,True,True,1007,four-dataset distribution EDA summary
external_weak_evidence,analysis/dataset_distribution_eda.md,True,True,1328,four-dataset distribution EDA report
external_weak_evidence,analysis/scamps_rr_signal_eda.csv,True,True,803693,SCAMPS synthetic breathing-signal EDA source
external_weak_evidence,analysis/external_weak_evidence_audit.csv,True,True,1131,external weak-evidence audit
external_weak_evidence,analysis/external_weak_evidence_audit.md,True,True,1821,external weak-evidence report
guard,analysis/pre_full_design_boundary_check.md,True,True,35943,design-boundary guard
guard,analysis/pre_full_design_boundary_check.json,True,True,58197,design-boundary machine-readable guard
guard,analysis/pre_full_learning_boundary_check.md,True,True,9978,learning-boundary guard
guard,analysis/pre_full_learning_boundary_check.csv,True,True,6368,learning-boundary machine-readable guard
guard,analysis/pre_full_paper_contract_audit.md,True,True,5924,paper/execute/index contract guard
guard,analysis/pre_full_paper_contract_audit.csv,True,True,5067,paper/execute/index contract machine-readable guard
guard,analysis/paper_code_consistency_audit.md,True,True,9223,paper/code/table-ready consistency guard
guard,analysis/paper_code_consistency_audit.csv,True,True,7871,paper/code/table-ready consistency machine-readable guard
guard,analysis/final_submission_gap_audit.md,True,True,4013,submission gap audit after baseline/comparator refresh
guard,analysis/final_submission_gap_audit.csv,True,True,3245,machine-readable submission gap audit
guard,analysis/final_metric_provenance_audit.md,True,True,24855,headline metric provenance audit
guard,analysis/final_metric_provenance_audit.csv,True,True,23022,machine-readable headline metric provenance audit
guard,analysis/final_split_and_leakage_audit.md,True,True,1135,split/leakage audit for final comparison package
guard,analysis/final_split_and_leakage_audit.csv,True,True,974,machine-readable split/leakage audit
guard,analysis/final_reference_and_format_audit.md,True,True,520,Scientific Reports reference/format audit
guard,analysis/final_reference_and_format_audit.csv,True,True,363,machine-readable reference/format audit
guard,analysis/final_reproducibility_audit.md,True,True,428,release/reproducibility audit
guard,analysis/final_reproducibility_audit.csv,True,True,311,machine-readable release/reproducibility audit
target_reliability,analysis/final_priors/cohface_mahnob_target_computable_reliability_windowed.csv,True,True,29085258,windowed GT-free COHFACE/MAHNOB reliability priors
target_reliability,analysis/final_priors/mahnob_target_computable_reliability_windowed.csv,True,True,25269354,windowed MAHNOB readout reliability priors
target_reliability,analysis/final_priors/mahnob_state_component_reliability_windowed.csv,True,True,25269354,windowed MAHNOB state-role reliability priors
main_real_run,results/final_full_validation/cohface/data,True,True,160,COHFACE full-dataset real waveform/rate run data
main_real_run,results/final_full_validation/cohface/metrics,True,True,34,COHFACE full-dataset real waveform/rate metrics
main_real_run,results/final_full_validation/cohface/metrics/activation_audit_raw.csv,True,True,102034,COHFACE final-path activation audit
main_real_run,results/final_full_validation/cohface/metrics/activation_audit_summary.json,True,True,392,COHFACE final-path activation summary
main_real_run,results/final_full_validation/mahnob_tailaligned/data,True,True,525,MAHNOB full-dataset hard-regime run data
